UserINode,UserJNode,INode,JNode,I_Z,J_Z,Max Drift X,Max Drift Y,Series,LoadCase
5,6,22,92,-5,0,0.00132341,0.00160845,Level1,gm11RSN1528_CHICHI_TCU101-E
5,6,22,92,-5,0,0.00254133,0.00172223,Level1,gm1RSN6_IMPVALL.I_I-ELC180
5,6,22,92,-5,0,0.00158475,0.0014183,Level1,gm2RSN4458_MONTENE.GRO_ULO000
5,6,22,92,-5,0,0.00165793,0.00239277,Level1,gm3RSN165_IMPVALL.H_H-CHI012
5,6,22,92,-5,0,0.00421144,0.00195131,Level1,gm4RSN723_SUPER.B_B-PTS225
5,6,22,92,-5,0,0.00398333,0.00250608,Level1,gm5RSN779_LOMAP_LGP000
5,6,22,92,-5,0,0.00332913,0.00480806,Level1,gm6RSN828_CAPEMEND_PET000
5,6,22,92,-5,0,0.00501782,0.00369627,Level1,gm7RSN1086_NORTHR_SYL090
5,6,22,92,-5,0,0.00249971,0.00152253,Level1,gm8RSN949_NORTHR_ARL090
5,6,22,92,-5,0,0.0053473,0.00705867,Level1,gm9RSN1120_KOBE_TAK000
5,6,22,92,-5,0,0.0136484,0.0110844,Level2,gm10RSN1119_KOBE_TAZ000
5,6,22,92,-5,0,0.00351985,0.00429918,Level2,gm11RSN1528_CHICHI_TCU101-E
5,6,22,92,-5,0,0.00684057,0.00458953,Level2,gm1RSN6_IMPVALL.I_I-ELC180
5,6,22,92,-5,0,0.00428779,0.0037791,Level2,gm2RSN4458_MONTENE.GRO_ULO000
5,6,22,92,-5,0,0.00450658,0.00643158,Level2,gm3RSN165_IMPVALL.H_H-CHI012
5,6,22,92,-5,0,0.0112321,0.00523924,Level2,gm4RSN723_SUPER.B_B-PTS225
5,6,22,92,-5,0,0.0108029,0.00676752,Level2,gm5RSN779_LOMAP_LGP000
5,6,22,92,-5,0,0.00900431,0.0129349,Level2,gm6RSN828_CAPEMEND_PET000
5,6,22,92,-5,0,0.0134618,0.00995058,Level2,gm7RSN1086_NORTHR_SYL090
5,6,22,92,-5,0,0.00677887,0.00410344,Level2,gm8RSN949_NORTHR_ARL090
5,6,22,92,-5,0,0.0143278,0.0188394,Level2,gm9RSN1120_KOBE_TAK000
5,6,22,92,-5,0,0.0221266,0.0180385,Level3,gm10RSN1119_KOBE_TAZ000
5,6,22,92,-5,0,0.00574623,0.00698961,Level3,gm11RSN1528_CHICHI_TCU101-E
5,6,22,92,-5,0,0.0111641,0.00747317,Level3,gm1RSN6_IMPVALL.I_I-ELC180
5,6,22,92,-5,0,0.00700862,0.00615564,Level3,gm2RSN4458_MONTENE.GRO_ULO000
5,6,22,92,-5,0,0.00735502,0.0104709,Level3,gm3RSN165_IMPVALL.H_H-CHI012
5,6,22,92,-5,0,0.018296,0.00854795,Level3,gm4RSN723_SUPER.B_B-PTS225
5,6,22,92,-5,0,0.0175714,0.0109949,Level3,gm5RSN779_LOMAP_LGP000
5,6,22,92,-5,0,0.0145632,0.0199823,Level3,gm6RSN828_CAPEMEND_PET000
5,6,22,92,-5,0,0.0218697,0.0161703,Level3,gm7RSN1086_NORTHR_SYL090
5,6,22,92,-5,0,0.0110577,0.00668485,Level3,gm8RSN949_NORTHR_ARL090
5,6,22,92,-5,0,0.0231074,0.0244829,Level3,gm9RSN1120_KOBE_TAK000
5,6,22,92,-5,0,0.0300248,0.0280471,Level4,gm10RSN1119_KOBE_TAZ000
5,6,22,92,-5,0,0.00909114,0.0110317,Level4,gm11RSN1528_CHICHI_TCU101-E
